question_id,answer_id
BEST-COUNTRY-TOURISM,United States
BEST-COUNTRY-TOURISM,México
BEST-COUNTRY-TOURISM,Spain
BEST-COUNTRY-TOURISM,Italy
BEST-COUNTRY-TOURISM,France
BEST-COUNTRY-TOURISM,Japan
BEST-COUNTRY-TOURISM,None of the above
SLEEP-MORE-THAN-8H,YES
SLEEP-MORE-THAN-8H,NO
BEST-DAY-GROCERY-SHOP,Mon
BEST-DAY-GROCERY-SHOP,Tue
BEST-DAY-GROCERY-SHOP,Wed
BEST-DAY-GROCERY-SHOP,Thu
BEST-DAY-GROCERY-SHOP,Fri
BEST-DAY-GROCERY-SHOP,Sat
BEST-DAY-GROCERY-SHOP,Sun
FAV-MATRIX-MOVIE-ACTOR,Carrie-Anne Moss
FAV-MATRIX-MOVIE-ACTOR,Keanu Reeves
FAV-MATRIX-MOVIE-ACTOR,Laurence Fishburne
FAV-MATRIX-MOVIE-ACTOR,Hugo Weaving
FAV-MATRIX-MOVIE-ACTOR,None of the above
OPINION-ON-NEWEST-APL-DEV,Great
OPINION-ON-NEWEST-APL-DEV,Just Ok
OPINION-ON-NEWEST-APL-DEV,Disgusting
OPINION-ON-NEWEST-APL-DEV,No opinion
YOUR-AGE-GROUP,Children
YOUR-AGE-GROUP,Young Adults
YOUR-AGE-GROUP,Middle-aged Adults
YOUR-AGE-GROUP,Old Adults
YOUR-GENDER-IDENTITY,Female
YOUR-GENDER-IDENTITY,Male
YOUR-GENDER-IDENTITY,Transgender
YOUR-GENDER-IDENTITY,Gender variant
YOUR-GENDER-IDENTITY,Prefer not to state
